"koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
CONFIRMED,0,0,0,0,54.4183827,0.0002479,-0.0002479,162.51384,0.00352,-0.00352,0.586,0.059,-0.443,4.507,0.116,-0.116,874.8,35.5,-35.5,2.83,0.32,-0.19,443,9.11,2.87,-1.62,25.8,2,5455,81,-81,4.467,0.064,-0.096,0.927,0.105,-0.061,291.93423,48.141651,15.347
FALSE POSITIVE,0,1,0,0,19.89913995,1.49E-05,-1.49E-05,175.850252,0.000581,-0.000581,0.969,5.126,-0.077,1.7822,0.0341,-0.0341,10829,171,-171,14.6,3.92,-1.31,638,39.3,31.04,-10.49,76.3,1,5853,158,-176,4.544,0.044,-0.176,0.868,0.233,-0.078,297.00482,48.134129,15.436
FALSE POSITIVE,0,1,0,0,1.736952453,2.63E-07,-2.63E-07,170.307565,0.000115,-0.000115,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,8079.2,12.8,-12.8,33.46,8.5,-2.83,1395,891.96,668.95,-230.35,505.6,1,5805,157,-174,4.564,0.053,-0.168,0.791,0.201,-0.067,285.53461,48.28521,15.597
CONFIRMED,0,0,0,0,2.525591777,3.76E-06,-3.76E-06,171.59555,0.00113,-0.00113,0.701,0.235,-0.478,1.6545,0.042,-0.042,603.3,16.9,-16.9,2.75,0.88,-0.35,1406,926.16,874.33,-314.24,40.9,1,6031,169,-211,4.438,0.07,-0.21,1.046,0.334,-0.133,288.75488,48.2262,15.509
CONFIRMED,0,0,0,0,4.13443512,1.05E-05,-1.05E-05,172.97937,0.0019,-0.0019,0.762,0.139,-0.532,3.1402,0.0673,-0.0673,686,18.7,-18.7,2.77,0.9,-0.3,1160,427.65,420.33,-136.7,40.2,2,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105,296.28613,48.22467,15.714
CONFIRMED,0,0,0,0,2.56658897,1.78E-05,-1.78E-05,179.55437,0.00461,-0.00461,0.755,0.212,-0.523,2.429,0.165,-0.165,226.5,16.8,-16.8,1.59,0.52,-0.17,1360,807.74,793.91,-258.2,15,3,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105,296.28613,48.22467,15.714
CONFIRMED,0,0,0,0,16.06864674,1.09E-05,-1.09E-05,173.621937,0.000517,-0.000517,0.052,0.262,-0.052,3.5347,0.0241,-0.0241,4914.3,33.3,-33.3,5.76,0.22,-0.49,600,30.75,4.46,-6.66,161.9,1,5031,75,-83,4.485,0.083,-0.028,0.848,0.033,-0.072,286.99948,48.37579,15.841
CONFIRMED,0,0,0,0,2.470613377,2.70E-08,-2.70E-08,122.763305,8.70E-06,-8.70E-06,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,14231,4.2,-4.2,13.04,0.51,-0.51,1339,761.46,106.21,-95.76,4304.3,1,5820,78,-78,4.457,0.024,-0.024,0.964,0.038,-0.038,286.80847,49.316399,11.338
CONFIRMED,0,1,0,0,2.204735417,4.30E-08,-4.30E-08,121.3585417,1.60E-05,-1.60E-05,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,6674.7,1.7,-1.7,16.1,0.81,-0.91,2048,4148.92,651.59,-654.46,5945.9,1,6440,76,-89,4.019,0.033,-0.027,1.952,0.099,-0.11,292.24728,47.969521,10.463
CONFIRMED,0,0,0,0,3.522498429,1.98E-07,-1.98E-07,121.1194228,4.71E-05,-4.71E-05,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,9145.7,6.6,-6.6,14.59,1.11,-1.11,1521,1264.67,307.23,-276.48,1741.5,1,6225,112,-137,4.169,0.055,-0.045,1.451,0.11,-0.11,281.28812,42.45108,13.563
CONFIRMED,0,0,0,0,3.709214104,6.54E-06,-6.54E-06,133.98318,0.00143,-0.00143,0.051,0.395,-0.051,2.6302,0.0427,-0.0427,131.1,3,-3,1.16,0.17,-0.12,1206,500.46,197.96,-130.54,50.6,2,5833,105,-117,4.407,0.085,-0.114,1.022,0.143,-0.107,295.64871,48.49556,12.772
FALSE POSITIVE,0,1,0,0,11.52144606,1.98E-06,-1.98E-06,170.839688,0.000131,-0.000131,2.483,2.851,-0.673,3.6399,0.0114,-0.0114,17984,31.9,-31.9,150.51,39.76,-13.31,753,75.88,58.89,-19.99,622.1,1,5795,155,-172,4.554,0.033,-0.176,0.848,0.224,-0.075,297.07993,47.597401,15.472
FALSE POSITIVE,0,1,0,0,19.22138894,1.12E-06,-1.12E-06,184.5521637,4.50E-05,-4.50E-05,1.065,0.031,-0.034,4.79843,0.00235,-0.00235,74284,21.9,-21.9,49.29,16.03,-5,698,55.97,54.55,-16.4,2317,1,6117,182,-200,4.496,0.052,-0.208,0.947,0.308,-0.096,295.81454,47.69035,15.341
FALSE POSITIVE,0,1,0,0,16.46983774,1.36E-05,-1.36E-05,180.881761,0.000623,-0.000623,0.292,0.118,-0.101,9.4378,0.06,-0.06,10479,39.9,-39.9,7.94,0.89,-0.89,595,29.61,12.01,-8.91,303.4,1,5152,168,-153,4.517,0.088,-0.072,0.786,0.088,-0.088,297.15442,47.668701,15.788
CONFIRMED,0,0,0,0,9.27358173,1.04E-05,-1.04E-05,173.258155,0.000877,-0.000877,0.387,0.004,-0.386,3.2875,0.0309,-0.0309,1288.3,16.8,-16.8,2.47,0.2,-0.24,649,41.85,12.49,-11.7,87.2,1,4856,131,-146,4.583,0.065,-0.035,0.696,0.056,-0.068,288.13824,47.724449,15.302
CONFIRMED,0,0,0,0,6.02930329,5.51E-06,-5.51E-06,171.602959,0.000713,-0.000713,0.258,0.196,-0.258,1.5821,0.0311,-0.0311,1912.7,34.4,-34.4,2.85,0.26,-0.15,678,50.04,16.4,-9.88,65.4,1,4537,123,-123,4.648,0.02,-0.056,0.672,0.062,-0.036,283.71088,47.86327,15.784
FALSE POSITIVE,0,1,1,1,2.696370652,7.53E-06,-7.53E-06,170.73769,0.00234,-0.00234,0.044,0.36,-0.044,3.6129,0.0686,-0.0686,397.9,9.5,-9.5,1.58,0.13,-0.16,1066,305.34,96.64,-86.33,48.2,1,4989,149,-149,4.504,0.09,-0.06,0.819,0.067,-0.082,283.76547,47.804298,15.269
CONFIRMED,0,0,0,0,3.94105221,1.09E-05,-1.09E-05,136.08662,0.00233,-0.00233,0.226,0.243,-0.226,2.5984,0.0737,-0.0737,363.3,13.9,-13.9,1.7,0.11,-0.16,1018,253.15,51.91,-57.65,28.9,2,5185,85,-77,4.44,0.098,-0.045,0.91,0.057,-0.086,292.37613,47.880989,15.416
FALSE POSITIVE,0,1,0,0,386.6030528,0.0001369,-0.0001369,166.342079,0.000299,-0.000299,0.9765,0.0497,-0.0268,6.8057,0.0184,-0.0184,24927,45.8,-45.8,41.5,1.68,-1.68,297,1.84,0.26,-0.24,994,1,5543,79,-79,4.081,0.014,-0.014,1.58,0.064,-0.064,292.27374,37.671558,12.394
CONFIRMED,0,0,0,0,21.67699193,7.01E-05,-7.01E-05,171.53594,0.00258,-0.00258,0.896,0.01,-0.663,3.4555,0.0656,-0.0656,857.2,27.1,-27.1,2.95,0.12,-0.23,530,18.64,2.78,-3.8,34.3,1,4954,79,-79,4.5,0.075,-0.02,0.828,0.032,-0.065,290.46512,47.92918,15.377
CONFIRMED,0,0,0,0,4.99677968,1.39E-05,-1.39E-05,171.74208,0.00219,-0.00219,0.71,0.006,-0.533,2.1717,0.0762,-0.0762,934.7,39.7,-39.7,2.78,0.52,-0.23,917,166.95,102.06,-42.14,28.2,1,5339,175,-159,4.552,0.034,-0.136,0.847,0.161,-0.069,297.80826,47.946671,15.861
CONFIRMED,0,0,0,0,4.280963604,6.14E-06,-6.14E-06,171.89659,0.00115,-0.00115,0.424,0.112,-0.356,2.875,0.042,-0.042,750.8,14.1,-14.1,2.3,0.58,-0.19,1012,247.87,182.24,-63.32,61.8,1,5644,152,-169,4.564,0.032,-0.168,0.831,0.207,-0.069,294.26581,49.314091,15.356
FALSE POSITIVE,0,0,1,0,1.50635409,4.70E-07,-4.70E-07,170.998064,0.000246,-0.000246,0.86,0.042,-0.125,1.5155,0.0483,-0.0483,2211.7,18.3,-18.3,4.53,1.01,-0.44,1452,1054.12,703.1,-292.26,181.1,1,5714,155,-172,4.563,0.04,-0.16,0.831,0.186,-0.08,295.66522,49.351009,15.525
